No,LocID,Location,MidPeriod,TFR,NRR,CBR,Births,LEx,IMR,Deaths,CNMR,GrowthRate,NatIncr,SRB,RANDOM
169,124,Canada,2008,1.636,0.788,11.139,1846.665,80.76,5.106,1189.848,8.001,1.197,3.962,1.053,0.213545753
1273,1508,WB region: Sub-Saharan Africa (excluding high income),2008,5.394,2.128,39.749,161755.421,54.28,72.762,49360.7,-0.565,2.71,27.619,1.04,0.205058981
147,76,Brazil,2018,1.74,0.829,14.073,14672.301,75.56,13.016,6690.653,0.102,0.776,7.656,1.05,0.088045431
593,340,Honduras,2013,2.729,1.27,23.399,1019.624,73.94,18.386,194.178,-0.688,1.827,18.943,1.05,0.782993925
1257,704,Viet Nam,2018,2.056,0.94,16.945,8049.592,75.27,16.713,2988.087,-0.842,0.981,10.655,1.123,0.315631133
76,31,Azerbaijan,2008,1.83,0.801,16.705,733.807,70.09,40.701,293.528,1.22,1.125,10.023,1.166,0.564747128
616,376,Israel,2008,2.927,1.413,21.18,734.718,80.94,3.971,191.387,7.888,2.358,15.663,1.053,0.794552851
123,2072,Belt-Road Initiative: Pacific,2018,3.038,1.365,22.195,1647.771,71.14,32.483,539.303,0.246,1.518,14.931,1.07,0.191476563
656,2090,LLDC: Latin America,2013,2.875,1.307,23.084,1953.748,70.7,28.219,547.133,-1.71,1.492,16.62,1.05,0.723975453
102,56,Belgium,2018,1.715,0.83,10.873,621.874,81.39,2.829,560.185,4.196,0.528,1.079,1.05,0.288799428
1091,768,Togo,2013,4.689,1.955,35.826,1231.054,59.08,55.665,319.579,-0.291,2.627,26.526,1.018,0.231906666
576,324,Guinea,2018,4.738,2.007,36.558,2245.115,61.04,51.644,524.412,-0.326,2.774,28.019,1.024,0.04534346
249,188,Costa Rica,2018,1.764,0.848,14.111,350.737,80,7.318,125.422,0.845,0.991,9.065,1.05,0.399776042
1133,1818,UNICEF PROGRAMME REGIONS,2013,2.655,1.168,21.224,628905.77,68.98,37.099,217259.983,-0.533,1.336,13.892,1.07,0.446090433
154,854,Burkina Faso,2008,6.079,2.339,43.731,3173.477,55.27,77.532,865.191,-1.723,3.014,31.808,1.046,0.526012091
831,524,Nepal,2018,1.934,0.894,20.019,2810.207,70.31,27.934,896.981,1.486,1.512,13.629,1.065,0.986297142
541,288,Ghana,2008,4.365,1.807,32.933,3836.176,60.13,53.724,1021.204,1.288,2.549,24.166,1.053,0.876270781
283,203,Czechia,2008,1.429,0.689,10.811,562.054,76.99,3.078,534.593,4.826,0.535,0.528,1.058,0.173821002
1170,2034,UNICEF Regions: Eastern Europe and Central Asia,2018,2.007,0.935,14.595,30762.745,73.3,11.053,21673.202,0.698,0.501,4.312,1.06,0.378218344
101,56,Belgium,2013,1.781,0.861,11.423,634.763,80.52,3.456,544.242,4.655,0.628,1.629,1.05,0.064528808
1214,1110,United Kingdom (and dependencies),2013,1.865,0.901,12.436,4051.296,80.87,4.088,2941.805,4.005,0.741,3.406,1.05,0.428236466
652,2089,LLDC: Europe,2008,1.333,0.631,10.996,340.23,70.16,13.965,347.68,-1.788,-0.203,-0.241,1.06,0.410502979
553,1556,Group of 77 (G77),2008,2.792,1.203,22.616,587066.552,66.7,46.243,200211.136,-0.626,1.428,14.903,1.08,0.753824769
852,558,Nicaragua,2018,2.42,1.145,20.867,670.224,74.15,16.777,162.545,-3.311,1.25,15.806,1.05,0.797252097
991,686,Senegal,2008,5.1,2.187,38.543,2290.261,62.55,47.484,484.222,-3.669,2.677,30.394,1.036,0.082222316
1280,1593,WHO: African region (AFRO),2013,4.985,2.059,37.355,171918.115,58.54,59.689,45460.592,-0.518,2.7,27.477,1.04,0.2864092
376,2046,ESCAP: WB Lower middle income econ.,2008,2.815,1.23,23.177,238599.917,66.46,47.295,75913.191,-1.245,1.456,15.803,1.09,0.864058568
1070,740,Suriname,2013,2.558,1.187,19.926,54.211,70.93,20.261,19.199,-1.838,1.103,12.869,1.08,0.168688641
639,296,Kiribati,2018,3.584,1.609,28.073,16.169,67.99,42.979,3.649,-6.943,1.48,21.737,1.06,0.369812586
1175,2029,UNICEF Regions: Europe and Central Asia,2013,1.784,0.833,12.542,56327.367,76.39,9.549,45563.6,1.864,0.426,2.397,1.06,0.745934871
1316,900,World,2013,2.517,1.108,19.468,697771.107,70.88,33.915,274797.689,0,1.18,11.801,1.07,0.898170896
545,1536,Greater Arab Free Trade Area (GAFTA),2013,3.363,1.548,26.82,47929.737,71.27,25.551,9528.493,0.145,2.165,21.488,1.05,0.269004613
896,1835,Oceania (excluding Australia and New Zealand),2013,3.647,1.612,27.616,1495.413,64.99,41.116,408.716,-2.278,1.78,20.068,1.08,0.214204896
630,400,Jordan,2018,2.772,1.313,22.049,1073.232,74.33,14.631,187.763,1.05,1.926,18.191,1.054,0.100155164
75,40,Austria,2018,1.529,0.739,9.935,439.248,81.35,3.15,436.512,7.351,0.741,0.062,1.055,0.43764079
466,222,El Salvador,2008,2.395,1.124,20.445,625.401,70.62,21.55,207.975,-9.339,0.431,13.646,1.05,0.017724893
1208,784,United Arab Emirates,2013,1.695,0.819,11.318,504.016,76.79,6.501,61.106,6.063,1.602,9.946,1.045,0.905930972
711,902,Less developed regions,2018,2.593,1.153,20.067,634335.871,70.7,31.872,222005.713,-0.443,1.26,13.044,1.07,0.200868677
790,911,Middle Africa,2008,6.227,2.414,44.428,27060.032,53.88,87.73,7887.5,0.725,3.227,31.478,1.03,0.11413198
946,634,Qatar,2008,2.23,1.075,12.568,85.517,78.69,8.295,9.205,134.414,15.263,11.215,1.045,0.000878223
780,928,Melanesia,2018,3.53,1.569,26.814,1424.147,65.39,37.531,382.98,-0.751,1.887,19.603,1.08,0.401865801
179,140,Central African Republic,2013,5.1,1.906,37.694,836.793,48.91,90.287,334.259,-17.844,0.479,22.637,1.03,0.779586821
930,604,Peru,2018,2.27,1.076,18.098,2870.455,76.41,12.786,864.691,3.123,1.578,12.646,1.05,0.291266998
862,1615,Non-Self-Governing Territories,2008,2.325,1.099,18.44,140.642,73.89,23.12,41.415,-2.497,1.051,13.01,1.04,0.859665433
1259,1509,WB region: East Asia and Pacific (excluding high income),2013,1.882,0.856,14.781,150430.744,73.71,17.276,69892.487,-0.371,0.754,7.913,1.11,0.376965636
501,1550,European Community (EC: 12),2018,1.598,0.766,9.756,18643.981,82.03,3.049,18899.667,2.932,0.28,-0.134,1.05,0.679722434
333,1072,ESCAP region: South-East Asia,2018,2.223,1.034,17.585,57280.986,72.46,19.473,21151.644,-0.557,1.054,11.091,1.06,0.4303506
211,446,"China, Macao SAR",2008,0.98,0.474,8.824,22.525,82.07,3.796,9.545,16.602,2.171,5.085,1.05,0.2630004
945,630,Puerto Rico,2018,1.22,0.588,7.377,115.128,79.85,5.453,145.859,-31.394,-3.344,-1.969,1.053,0.721784073
868,1555,North Atlantic Treaty Organization (NATO),2008,1.817,0.862,12.436,54965.516,78.3,6.852,39024.378,2.689,0.63,3.607,1.05,0.770125245
22,2083,African Union: Southern Africa,2008,4.253,1.718,34.97,24238.265,51.45,71.481,9592.514,0.487,2.164,21.13,1.02,0.601101326
159,108,Burundi,2018,5.45,2.309,39.257,2164.107,61.02,42.444,443.353,0.181,3.146,31.215,1.03,0.081138241
298,1106,Denmark (and dependencies),2008,1.866,0.898,11.804,330.08,78.49,4.089,281.585,3.019,0.475,1.735,1.06,0.911367382
734,434,Libya,2013,2.45,1.153,21.6,681.263,71.74,12.959,160.609,-9.512,0.7,16.508,1.06,0.097031834
959,643,Russian Federation,2013,1.698,0.807,12.981,9361.052,70.27,8.337,9655.873,2.497,0.209,-0.408,1.059,0.055798035
646,2087,LLDC: Africa,2008,5.741,2.285,41.281,49614.926,54.49,69.752,14188.317,-0.749,2.878,29.476,1.04,0.018182162
202,156,China,2008,1.62,0.725,12.807,86434.191,73.68,18.105,46221.576,-0.323,0.564,5.958,1.17,0.150145442
93,50,Bangladesh,2018,2.052,0.955,18.361,14732.419,72.15,26.846,4451.811,-2.303,1.051,12.813,1.049,0.698750296
804,901,More developed regions,2018,1.643,0.789,10.584,66942.06,79.24,4.46,64270.51,2.215,0.264,0.422,1.05,0.818124732
970,2091,SIDS Caribbean,2008,2.377,1.072,18.789,3801.414,70.83,34.777,1563.046,-3.822,0.724,11.063,1.05,0.199096883
1241,1502,Upper-middle-income countries,2013,1.87,0.858,14.831,186603.779,74.06,14.752,89760.71,0.263,0.796,7.697,1.1,0.593026931
614,372,Ireland,2013,1.965,0.945,15.362,353.593,80.61,3.388,143.677,-4.858,0.426,9.12,1.06,0.937147845
109,2068,Belt-Road Initiative: Africa,2008,4.807,1.938,36.366,158672.573,57.12,66.711,47442.292,-0.692,2.483,25.493,1.04,0.830159961
440,906,Eastern Asia,2013,1.626,0.738,12.225,99330.594,76.34,11.542,58469.168,-0.066,0.496,5.029,1.14,0.74293544
687,1559,"League of Arab States (LAS, informal name: Arab League)",2018,3.27,1.495,25.337,52744.103,71.47,25.897,11243.766,-0.677,1.927,19.936,1.05,0.827417008
1058,144,Sri Lanka,2013,2.213,1.063,17.155,1765.715,75.89,8.776,634.657,-4.71,0.628,10.989,1.04,0.897180762
839,540,New Caledonia,2013,2.18,1.041,16.515,21.659,76.33,13.009,7.131,2.29,1.337,11.078,1.05,0.643163973
579,624,Guinea-Bissau,2018,4.51,1.895,35.389,327.805,57.82,57.121,90.016,-0.755,2.495,25.671,1.03,0.289502315
835,1108,Netherlands (and dependencies),2008,1.75,0.843,11.298,949.966,80.1,4.297,691.913,1.019,0.409,3.069,1.06,0.815612898
66,1557,Association of Southeast Asian Nations (ASEAN),2018,2.22,1.032,17.562,57094.007,72.46,19.414,21113.738,-0.55,1.052,11.068,1.06,0.734072952
1103,792,Turkey,2013,2.121,1.002,17.278,6516.387,75.59,11.835,2077.046,4.675,1.646,11.771,1.05,0.447576645
290,408,Dem. People's Republic of Korea,2013,1.93,0.899,13.915,1730.06,70.79,18.54,1068.05,-0.217,0.511,5.325,1.05,0.932222025
800,499,Montenegro,2013,1.71,0.812,11.947,37.372,76.08,4.271,31.584,-0.995,0.086,1.85,1.084,0.413898185
741,1500,Low-income countries,2018,4.52,1.964,34.491,125746.205,63.44,48.05,28112.887,-1.234,2.558,26.78,1.04,0.53548438
651,2088,LLDC: Asia,2018,2.866,1.314,24.394,19500.335,69.54,31.895,5112.241,-0.601,1.741,17.999,1.06,0.798589087
1298,1543,West African Economic and Monetary Union (UEMOA),2013,5.664,2.32,40.978,21561.136,58.3,62.379,5280.575,-1.448,2.955,30.942,1.04,0.473038521
841,1552,New EU member states (joined since 2004),2008,1.425,0.683,10.446,5602.521,74.64,6.951,6078.973,-1.732,-0.262,-0.888,1.06,0.205431535
1224,1760,United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2018,2.119,0.956,16.101,364681.378,73.22,24.633,162516.587,-0.297,0.863,8.926,1.09,0.635610735
85,44,Bahamas,2008,1.91,0.898,15.563,26.45,72.01,11.28,10.904,8.553,1.771,9.147,1.057,0.121857339
670,1830,Latin America and the Caribbean,2008,2.26,1.063,18.999,54566.688,73.45,20.228,16921.825,-1.321,1.179,13.107,1.05,0.542203434
28,1200,"African, Caribbean and Pacific (ACP) Group of States",2008,5.226,2.073,38.757,165385.64,55.05,71.673,50678.784,-0.919,2.6,26.881,1.04,0.454456623
424,2063,ESCWA: Maghreb countries,2008,2.543,1.182,21.404,8811.161,73.72,26.338,2086.406,-2.628,1.371,16.336,1.06,0.636221489
408,1065,ESCAP: other Asia-Pacific countries/areas,2018,2.817,1.296,21.438,20676.905,74.45,20.373,4562.973,-0.262,1.645,16.707,1.05,0.728277467
21,2082,African Union: Northern Africa,2018,3.059,1.42,24.173,23933.924,73.77,18.364,5431.632,-0.479,1.822,18.687,1.06,0.432359032
912,1521,Organization of Petroleum Exporting countries (OPEC),2018,3.81,1.602,29.066,71680.707,64.6,44.553,19352.226,-1.013,2.022,21.219,1.05,0.137866361
104,84,Belize,2013,2.58,1.233,22.671,38.733,73.4,14.981,7.857,4.445,2.254,18.072,1.03,0.59940124
932,608,Philippines,2013,3.05,1.413,24.096,11811.752,70.23,23.716,2830.709,-1.703,1.663,18.321,1.06,0.279275063
106,2067,Belt-Road Initiative (BRI),2008,3.114,1.341,24.769,346858.769,65.41,48.776,122727.802,-0.64,1.537,16.005,1.05,0.395585702
918,586,Pakistan,2018,3.55,1.543,28.522,29970.376,67.02,61.33,7338.105,-1.11,2.045,21.539,1.087,0.130878617
869,1555,North Atlantic Treaty Organization (NATO),2013,1.746,0.831,11.642,52991.689,79.41,5.645,40217.017,2.679,0.549,2.807,1.05,0.995508961
791,911,Middle Africa,2013,5.943,2.406,42.608,30446.091,56.99,74.076,7836.117,-0.04,3.167,31.642,1.03,0.164146826
1216,1730,United Nations Economic Commission for Africa (UN-ECA),2008,4.904,1.971,37.018,180697.336,56.76,67.758,53982.119,-0.753,2.524,25.959,1.04,0.127439277
1199,1822,UNITED NATIONS Regional Groups of Member States,2013,2.516,1.107,19.46,697009.24,70.87,33.93,274709.44,0.004,1.18,11.79,1.07,0.670568865
105,84,Belize,2018,2.32,1.113,20.888,39.612,74.37,12.805,8.917,3.164,1.936,16.186,1.03,0.042820319
669,418,Lao People's Democratic Republic,2018,2.7,1.23,23.828,834.979,67.44,38.76,227.059,-2.098,1.526,17.348,1.05,0.647739745
1276,1820,WHO Regions,2008,2.59,1.124,20.391,683827.096,68.87,41.093,270191.295,-0.003,1.233,12.334,1.07,0.460316818
778,928,Melanesia,2008,3.948,1.713,30.108,1311.201,62.72,48.431,354.49,-0.022,2.197,21.968,1.08,0.768878208
222,1566,Commonwealth of Independent States (CIS),2018,2.063,0.949,15,21563.245,72.09,12.248,16116.174,0.487,0.428,3.789,1.06,0.9651239
941,620,Portugal,2013,1.283,0.618,8.495,445.251,80.62,2.948,532.963,-2.671,-0.434,-1.674,1.06,0.080957291
274,192,Cuba,2008,1.577,0.757,11.065,622.033,78.11,5.34,417.781,-4.269,-0.064,3.634,1.057,0.937277911
1066,729,Sudan,2008,5,2.116,36.599,5992.618,61.62,53.179,1414.432,-6.002,2.198,27.961,1.04,0.323288529
189,1545,Central European Free Trade Agreement (CEFTA),2018,1.429,0.681,9.781,1270.34,75.97,6.969,1517.927,-1.634,-0.354,-1.906,1.07,0.571780085
565,312,Guadeloupe,2008,2.249,1.086,14.805,29.942,79.39,6.998,14.505,-6.066,0.157,7.633,1.04,0.647091973
573,320,Guatemala,2018,2.899,1.356,24.762,2115.201,73.94,20.737,405.995,-0.539,1.949,20.009,1.05,0.149953343
88,48,Bahrain,2008,2.25,1.086,17.33,92.281,75.69,7.949,12.583,51.079,6.666,14.967,1.038,0.553992172
1184,2032,UNICEF Regions: North America,2013,1.849,0.89,12.383,21679.589,79.23,5.846,14134.682,3.541,0.785,4.31,1.05,0.862176033
744,1501,Lower-middle-income countries,2018,2.711,1.202,21.649,324308.72,68.11,36.672,109781.908,-0.687,1.364,14.321,1.07,0.297440488
150,96,Brunei Darussalam,2018,1.848,0.879,14.996,31.955,75.66,7.924,9.382,0,1.06,10.593,1.055,0.116673129
239,2079,Commonwealth: Pacific,2013,2.436,1.118,17.419,3252.895,77.38,20.613,1288.769,5.289,1.582,10.518,1.07,0.025172651
731,430,Liberia,2013,4.75,2.004,35.591,744.171,60.73,60.127,188.3,1.196,2.783,26.585,1.054,0.75091934
924,598,Papua New Guinea,2018,3.588,1.577,27.229,1160.942,64.15,41.949,317.689,-0.094,1.97,19.778,1.08,0.163881027
1236,840,United States of America,2018,1.776,0.855,11.968,19503.75,78.81,5.815,14153.442,2.929,0.621,3.283,1.047,0.538017547
224,2074,Commonwealth of Nations,2013,2.945,1.271,23.552,270573.563,66.24,47.114,90123.702,-0.24,1.548,15.707,1.07,0.359327628
207,1105,China (and dependencies),2018,1.681,0.775,11.869,86329.171,76.74,9.779,51815.274,-0.195,0.455,4.745,1.13,0.952122569
618,376,Israel,2018,3.044,1.473,20.412,848.837,82.74,2.73,221.797,1.202,1.629,15.078,1.053,0.313686255
446,1825,Eastern European Group,2013,1.595,0.755,11.773,20120.244,72.48,8.611,21569.961,0.408,-0.044,-0.849,1.07,0.290690687
1202,800,Uganda,2013,5.78,2.467,42.897,7577.15,59.46,58.964,1479.875,-1.698,3.289,34.519,1.03,0.282789542
1247,860,Uzbekistan,2013,2.43,1.131,22.875,3399.503,70.23,27.679,919.38,-0.447,1.625,16.689,1.062,0.146164849
722,1480,Less developed: Asia,2013,2.223,0.992,17.847,374193.99,71.28,29.895,142442.68,-0.349,1.071,11.053,1.09,0.349081852
200,152,Chile,2013,1.85,0.894,14.24,1247.147,79.29,7.197,504.057,1.869,1.036,8.485,1.04,0.143907248
44,28,Antigua and Barbuda,2013,2,0.97,16.256,7.38,76.14,6.794,2.788,2.077,1.22,10.115,1.03,0.378009028
707,426,Lesotho,2013,3.26,1.31,28.424,288.118,48.15,65.374,176.974,-4.706,0.626,10.965,1.027,0.573199808
219,170,Colombia,2018,1.82,0.867,15.029,3697.363,77.02,12.635,1359.122,4.162,1.367,9.504,1.05,0.504653397
316,1746,ECLAC: The Caribbean,2008,2.096,0.988,16.226,977.838,75.05,16.027,440.333,-4.654,0.427,8.919,1.05,0.510354622
554,1556,Group of 77 (G77),2013,2.691,1.179,21.493,598226.213,68.74,38.224,202340.824,-0.59,1.364,14.223,1.07,0.867416552
1223,1760,United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2013,2.163,0.963,17.169,371478.818,71.72,29.296,155494.184,-0.298,0.969,9.983,1.1,0.689746749
37,1533,Andean Community,2008,2.474,1.156,20.505,9887.484,73.5,20.891,2638.954,-3.132,1.19,15.032,1.05,0.148125676
889,578,Norway,2008,1.924,0.928,12.609,300.048,80.6,2.995,209.968,6.868,1.066,3.785,1.056,0.206651281
961,646,Rwanda,2008,4.85,2.067,36.148,1706.148,60.03,62.684,427.262,-1.69,2.544,27.096,1.01,0.080974041
489,917,Europe,2013,1.601,0.765,10.873,40215.988,77.18,5.255,40460.316,1.863,0.18,-0.066,1.06,0.948610948
46,32,Argentina,2008,2.37,1.133,18.386,3667.414,74.87,14.211,1544.589,-0.602,1.004,10.643,1.04,0.005335471
183,916,Central America,2018,2.234,1.061,18.721,16316.591,74.91,14.597,4989.454,-0.695,1.231,12.996,1.05,0.889620645
1213,1110,United Kingdom (and dependencies),2008,1.86,0.897,12.538,3908.39,79.69,4.865,2915.007,7.083,1.027,3.187,1.05,0.90592285
409,2052,ESCAP: upper middle HDI,2008,1.835,0.865,15.543,28086.699,69.71,15.25,17206.533,1.012,0.703,6.021,1.06,0.767916129
26,2084,African Union: Western Africa,2013,5.523,2.145,39.722,64668.306,54.97,68.583,19118.879,-0.875,2.714,27.978,1.05,0.268938207
397,1062,ESCAP: low income,2008,2.873,1.243,23.544,210344.201,65.87,51.343,67810.082,-1.257,1.47,15.954,1.09,0.827485821
187,1545,Central European Free Trade Agreement (CEFTA),2008,1.49,0.704,10.745,1450.992,73.58,10.031,1494.315,-3.426,-0.375,-0.321,1.07,0.044450618
898,512,Oman,2008,2.9,1.385,21.881,303.746,75.06,9.771,40.564,19.234,3.831,18.959,1.05,0.202911575
212,446,"China, Macao SAR",2013,1.19,0.577,11.198,31.924,83.28,3.06,10.406,14.856,2.243,7.548,1.05,0.767362782
981,670,Saint Vincent and the Grenadines,2018,1.902,0.908,14.336,7.888,72.36,14.645,5.087,-1.817,0.327,5.09,1.03,0.479711812
163,116,Cambodia,2008,3.081,1.361,26.256,1810.724,65.12,44.808,475.886,-4.292,1.507,19.355,1.064,0.403781553
373,2045,ESCAP: WB Low income econ.,2008,3.63,1.563,27.567,10754.758,64.08,56.143,3267.521,-5.236,1.396,19.191,1.06,0.119993953
506,1549,European Union (EU: 15),2013,1.624,0.781,10.359,20711.078,81.36,3.381,19029.094,2.724,0.356,0.841,1.05,0.605956085
1182,2037,UNICEF Regions: Middle East and North Africa,2018,2.848,1.329,22.802,50633.314,74.05,18.114,10929.359,-0.529,1.736,17.88,1.05,0.09650656
232,2077,Commonwealth: Caribbean and Americas,2008,1.749,0.829,12.209,2411.338,79.48,8.692,1416.324,6.021,1.106,5.038,1.05,0.98687377
543,288,Ghana,2018,3.893,1.689,29.574,4356.347,63.65,35.634,1082.604,-0.339,2.191,22.225,1.053,0.435488111
319,1071,ESCAP region: East and North-East Asia,2008,1.6,0.717,12.382,96675.909,74.85,17.012,54529.724,-0.251,0.515,5.398,1.16,0.67449954
35,12,Algeria,2013,2.96,1.386,25.278,4784.239,75.51,24.94,890.398,-0.757,1.983,20.573,1.05,0.507726567
879,1833,Northern Africa and Western Asia,2018,2.933,1.359,22.85,57546.082,73.45,20.608,13422.029,0.089,1.762,17.521,1.05,0.922444979
186,5500,Central Asia,2018,2.751,1.283,23.328,8329.263,71.64,20.562,2191.005,-0.782,1.642,17.192,1.06,0.695887026
273,191,Croatia,2018,1.446,0.696,8.931,186.171,78.25,4.001,273.776,-1.919,-0.612,-4.203,1.061,0.956911896
1106,795,Turkmenistan,2013,3,1.374,27.004,719.163,67.3,46.879,191.083,-1.878,1.796,19.829,1.046,0.939467955
312,1736,ECE: UNECE-52,2018,1.793,0.849,12.031,77406.625,78.08,6.958,62017.761,2.164,0.456,2.392,1.06,0.793763209
89,48,Bahrain,2013,2.12,1.027,15.966,104.287,76.41,6.908,15.295,6.43,2.007,13.624,1.035,0.271511936
1063,947,Sub-Saharan Africa,2008,5.404,2.126,39.841,155986.751,54.04,73.459,48011.626,-0.343,2.728,27.578,1.04,0.04051389
1197,2030,UNICEF Regions: Western Europe,2018,1.581,0.76,9.861,24389.328,81.44,3.049,24569.116,2.6,0.253,-0.073,1.05,0.767735898
56,935,Asia,2013,2.21,0.985,17.567,379581.728,71.83,29.501,148745.764,-0.322,1.036,10.683,1.09,0.275321124
25,2084,African Union: Western Africa,2008,5.75,2.148,41.352,58762.507,52.46,81.399,19093.233,-0.699,2.726,27.916,1.05,0.545787782
1188,2038,UNICEF Regions: South Asia,2018,2.404,1.075,19.582,176522.524,69.1,36.915,63285.611,-0.689,1.188,12.561,1.09,0.438714704
87,44,Bahamas,2018,1.76,0.834,14.036,26.929,73.73,5.878,12.882,2.606,0.993,7.322,1.057,0.968831762
1140,2042,UNICEF Programme Regions: Eastern Caribbean,2018,1.719,0.818,13.02,154.936,74.62,17.489,97.026,-0.484,0.438,4.866,1.04,0.969957591
162,132,Cabo Verde,2018,2.289,1.098,19.689,53.195,72.7,16.891,15.243,-2.483,1.157,14.047,1.03,0.021074276
572,320,Guatemala,2013,3.192,1.481,26.619,2055.174,72.44,26.941,383.032,-0.649,2.103,21.658,1.05,0.472834336
277,531,Cura̤ao,2008,2.18,1.042,13.445,9.389,76.12,12.978,5.693,22,2.734,5.292,1.05,0.237173067
1323,887,Yemen,2018,3.837,1.715,30.707,4323.832,66.03,43.232,845.747,-1.065,2.366,24.701,1.05,0.455249719
629,400,Jordan,2013,3.4,1.605,26.755,1105.508,73.81,17.059,157.238,25.575,4.876,22.95,1.054,0.735952252
556,1523,Group of Eight (G8),2008,1.731,0.822,11.613,50576.785,77.4,6.098,42441.639,3.005,0.487,1.868,1.05,0.406864051
1090,768,Togo,2008,5.036,2.013,38.414,1155.625,55.8,63.163,334.989,-0.352,2.697,27.279,1.018,0.321964831
20,2082,African Union: Northern Africa,2013,3.12,1.444,25.98,23439.875,72.69,21.771,5110.908,-1.345,1.898,20.315,1.06,0.520969252
784,954,Micronesia,2008,3.13,1.432,23.854,59.746,70.62,30.64,14.661,-15.891,0.211,18.001,1.07,0.896024454
1041,913,Southern Africa,2018,2.5,1.145,21.43,6990.953,63.28,29.39,3098.352,1.919,1.386,11.932,1.03,0.685910518
548,300,Greece,2013,1.343,0.646,8.928,480.951,81.08,3.283,547.047,-3.004,-0.423,-1.227,1.062,0.375603992
759,462,Maldives,2018,1.88,0.895,14.401,35.839,78.47,6.768,7.066,22.844,3.449,11.562,1.072,0.866730577
867,1520,North American Free Trade Agreement (NAFTA),2018,1.877,0.894,13.335,32551.769,78.22,8.366,19321.641,2.329,0.775,5.42,1.05,0.423484707
27,2084,African Union: Western Africa,2018,5.191,2.084,37.422,69686.656,57.24,57.331,19236.457,-0.489,2.664,27.092,1.05,0.921747477
774,480,Mauritius,2018,1.389,0.666,10.244,64.826,74.76,11.219,52.517,0,0.195,1.945,1.042,0.674305893
686,1559,"League of Arab States (LAS, informal name: Arab League)",2013,3.47,1.583,27.475,51615.559,70.4,29.027,10534.953,0.025,2.191,21.867,1.05,0.778335849
243,174,Comoros,2018,4.237,1.85,32.086,132.115,63.98,53.099,29.942,-2.429,2.241,24.814,1.05,0.475311635
745,442,Luxembourg,2008,1.621,0.781,11.401,27.527,79.5,2.329,19.764,17.512,2.075,3.215,1.054,0.175806052
1321,887,Yemen,2008,5,2.203,35.367,3825.149,64.71,48.641,711.935,-0.608,2.822,28.784,1.05,0.834711008
261,2096,Countries with Access to the Sea: Europe,2018,1.618,0.781,10.436,35330.871,78.38,4.159,37323.201,1.764,0.118,-0.589,1.06,0.886253612
135,1569,Bolivarian Alliance for the Americas (ALBA),2018,2.271,1.06,17.532,5163.398,73.32,23.004,2091.44,-11.867,-0.144,10.431,1.05,0.682050066
