No,Country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
175,St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026.00 ,242.00 ,29,49.59,-4.86,7.54,6900,99,683.2,13.04,0,86.96,0,13.52,6.83,0,0,0
88,Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029.00 ,36120.00 ,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26
128,Maldives ,ASIA (EX. NEAR EAST)         ,359008.00 ,300.00 ,1196.7,214.67,0,56.52,3900,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62
189,Somalia ,SUB-SAHARAN AFRICA                 ,8863338.00 ,637657.00 ,13.9,0.47,5.37,116.7,500,37.8,11.3,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25
207,Turkey ,NEAR EAST                          ,70413958.00 ,780580.00 ,90.2,0.92,0,41.04,6700,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585
72,French Polynesia ,OCEANIA                            ,274578.00 ,4167.00 ,65.9,60.6,2.94,8.44,17500,98,194.5,0.82,5.46,93.72,2,16.68,4.69,0.031,0.19,0.769
183,Seychelles ,SUB-SAHARAN AFRICA                 ,81541.00 ,455.00 ,179.2,107.91,-5.69,15.53,7800,58,262.4,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665
179,Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413.00 ,1001.00 ,193.2,20.88,-2.72,43.11,1200,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684
77,Germany ,WESTERN EUROPE                     ,82422299.00 ,357021.00 ,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
225,Yemen ,NEAR EAST                          ,21456188.00 ,527970.00 ,40.6,0.36,0,61.5,800,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393
59,East Timor ,ASIA (EX. NEAR EAST)         ,1062777.00 ,15007.00 ,70.8,4.7,0,47.41,500,58.6,0,4.71,0.67,94.62,2,26.99,6.24,0.085,0.231,0.684
95,India ,ASIA (EX. NEAR EAST)         ,1095351995.00 ,3287590.00 ,333.2,0.21,-0.07,56.29,2900,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
13,Austria ,WESTERN EUROPE                     ,8192880.00 ,83870.00 ,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678
42,Chile ,LATIN AMER. & CARIB    ,16134219.00 ,756950.00 ,21.3,0.85,0,8.8,9900,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447
69,Finland ,WESTERN EUROPE                     ,5231372.00 ,338145.00 ,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
34,Burundi ,SUB-SAHARAN AFRICA                 ,8090068.00 ,27830.00 ,290.7,0,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334
64,Eritrea ,SUB-SAHARAN AFRICA                 ,4786994.00 ,121320.00 ,39.5,1.84,0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
21,Belize ,LATIN AMER. & CARIB    ,287730.00 ,22966.00 ,12.5,1.68,0,25.69,4900,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612
39,Cayman Islands ,LATIN AMER. & CARIB    ,45436.00 ,262.00 ,173.4,61.07,18.75,8.19,35000,98,836.3,3.85,0,96.15,2,12.74,4.89,0.014,0.032,0.954
125,Madagascar ,SUB-SAHARAN AFRICA                 ,18595469.00 ,587040.00 ,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
109,Kiribati ,OCEANIA                            ,105432.00 ,811.00 ,130,140.94,0,48.52,800,0,42.7,2.74,50.68,46.58,2,30.65,8.26,0.089,0.242,0.668
31,Bulgaria ,EASTERN EUROPE                     ,7385367.00 ,110910.00 ,66.6,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603
173,Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129.00 ,261.00 ,149.9,51.72,-7.11,14.49,8800,97,638.9,19.44,2.78,77.78,2,18.02,8.33,0.035,0.258,0.707
141,Montserrat ,LATIN AMER. & CARIB    ,9439.00 ,102.00 ,92.5,39.22,0,7.35,3400,97,0,20,0,80,2,17.59,7.1,0,0,0
182,Serbia ,EASTERN EUROPE                     ,9396411.00 ,88361.00 ,106.3,0,-1.33,12.89,2200,93,285.8,33.35,3.2,63.45,0,0,0,0.166,0.255,0.579
204,Tonga ,OCEANIA                            ,114689.00 ,748.00 ,153.3,56.02,0,12.62,2200,98.5,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5
80,Greece ,WESTERN EUROPE                     ,10688058.00 ,131940.00 ,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
174,Saint Lucia ,LATIN AMER. & CARIB    ,168458.00 ,616.00 ,273.5,25.65,-2.67,13.53,5400,67,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73
192,Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240.00 ,65610.00 ,308.2,2.04,-1.31,14.35,3700,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545
17,Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352.00 ,144000.00 ,1023.4,0.4,-0.71,62.6,1900,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603
79,Gibraltar ,WESTERN EUROPE                     ,27928.00 ,7.00 ,3989.7,171.43,0,5.13,17500,0,877.7,0,0,100,0,10.74,9.31,0,0,0
161,Paraguay ,LATIN AMER. & CARIB    ,6506464.00 ,406750.00 ,16,0,-0.08,25.63,4700,94,49.2,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
112,Kuwait ,NEAR EAST                          ,2418393.00 ,17820.00 ,135.7,2.8,14.18,9.95,19000,83.5,211,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516
28,Brazil ,LATIN AMER. & CARIB    ,188078227.00 ,8511965.00 ,22.1,0.09,-0.03,29.61,7600,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516
218,Vanuatu ,OCEANIA                            ,208869.00 ,12200.00 ,17.1,20.72,0,55.16,2900,53,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62
121,Lithuania ,BALTICS                            ,3585906.00 ,65200.00 ,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,0,8.75,10.98,0.055,0.325,0.62
162,Peru ,LATIN AMER. & CARIB    ,28302603.00 ,1285220.00 ,22,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
37,Canada ,NORTHERN AMERICA                   ,33098932.00 ,9984670.00 ,3.3,2.02,5.96,4.75,29800,97,552.2,4.96,0.02,95.02,0,10.78,7.8,0.022,0.294,0.684
158,Palau ,OCEANIA                            ,20579.00 ,458.00 ,44.9,331.66,2.85,14.84,9000,92,325.6,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818
191,Spain ,WESTERN EUROPE                     ,40397842.00 ,504782.00 ,80,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
4,American Samoa ,OCEANIA                            ,57794.00 ,199.00 ,290.4,58.29,-20.71,9.27,8000,97,259.5,10,15,75,2,22.46,3.27,0,0,0
20,Belgium ,WESTERN EUROPE                     ,10379067.00 ,30528.00 ,340,0.22,1.23,4.68,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749
150,New Zealand ,OCEANIA                            ,4076140.00 ,268680.00 ,15.2,5.63,4.05,5.85,21600,99,441.7,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684
144,Namibia ,SUB-SAHARAN AFRICA                 ,2044147.00 ,825418.00 ,2.5,0.19,0,48.98,7200,84,62.6,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588
84,Guam ,OCEANIA                            ,171019.00 ,541.00 ,316.1,23.2,0,6.94,21000,99,492,9.09,16.36,74.55,2,18.79,4.48,0,0,0
151,Nicaragua ,LATIN AMER. & CARIB    ,5570129.00 ,129494.00 ,43,0.7,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
126,Malawi ,SUB-SAHARAN AFRICA                 ,13013926.00 ,118480.00 ,109.8,0,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
198,Syria ,NEAR EAST                          ,18881361.00 ,185180.00 ,102,0.1,0,29.53,3300,76.9,153.8,25.22,4.43,70.35,1,27.76,4.81,0.249,0.23,0.519
19,Belarus ,C.W. OF IND. STATES ,10293011.00 ,207600.00 ,49.6,0,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591
139,Monaco ,WESTERN EUROPE                     ,32543.00 ,2.00 ,16271.5,205,7.75,5.43,27000,99,1035.6,0,0,100,0,9.19,12.91,0.17,0,0
6,Angola ,SUB-SAHARAN AFRICA                 ,12127071.00 ,1246700.00 ,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,0,45.11,24.2,0.096,0.658,0.246
154,N. Mariana Islands ,OCEANIA                            ,82459.00 ,477.00 ,172.9,310.69,9.61,7.11,12500,97,254.7,13.04,4.35,82.61,2,19.43,2.29,0,0,0
29,British Virgin Is. ,LATIN AMER. & CARIB    ,23098.00 ,153.00 ,151,52.29,10.01,18.05,16000,97.8,506.5,20,6.67,73.33,2,14.89,4.42,0.018,0.062,0.92
209,Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152.00 ,430.00 ,49.2,90.47,11.68,15.67,9600,98,269.5,2.33,0,97.67,2,21.84,4.21,0,0,0
219,Venezuela ,LATIN AMER. & CARIB    ,25730435.00 ,912050.00 ,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
52,Cuba ,LATIN AMER. & CARIB    ,11382820.00 ,110860.00 ,102.7,3.37,-1.58,6.33,2900,97,74.7,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684
160,Papua New Guinea ,OCEANIA                            ,5670544.00 ,462840.00 ,12.3,1.11,0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
67,Faroe Islands ,WESTERN EUROPE                     ,47246.00 ,1399.00 ,33.8,79.84,1.41,6.24,22000,0,503.8,2.14,0,97.86,0,14.05,8.7,0.27,0.11,0.62
8,Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108.00 ,443.00 ,156,34.54,-6.15,19.46,11000,89,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743
92,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432.00 ,1092.00 ,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
223,West Bank ,NEAR EAST                          ,2460492.00 ,5860.00 ,419.9,0,2.98,19.62,800,0,145.2,16.9,18.97,64.13,3,31.67,3.92,0.09,0.28,0.63
96,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739.00 ,1919440.00 ,127.9,2.85,0,35.6,3200,87.9,52,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408
24,Bhutan ,ASIA (EX. NEAR EAST)         ,2279723.00 ,47000.00 ,48.5,0,0,100.44,1300,42.2,14.3,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363
133,Mauritania ,SUB-SAHARAN AFRICA                 ,3177388.00 ,1030700.00 ,3.1,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
102,Italy ,WESTERN EUROPE                     ,58133509.00 ,301230.00 ,193,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,0,8.72,10.4,0.021,0.291,0.688
171,Rwanda ,SUB-SAHARAN AFRICA                 ,8648248.00 ,26338.00 ,328.4,0,0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37
176,Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848.00 ,389.00 ,303,21.59,-7.64,14.78,2900,96,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64
116,Lebanon ,NEAR EAST                          ,3874050.00 ,10400.00 ,372.5,2.16,0,24.52,4800,87.4,255.6,16.62,13.98,69.4,0,18.52,6.21,0.12,0.21,0.67
30,Brunei ,ASIA (EX. NEAR EAST)         ,379444.00 ,5770.00 ,65.8,2.79,3.59,12.61,18600,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,0.036,0.561,0.403
226,Zambia ,SUB-SAHARAN AFRICA                 ,11502010.00 ,752614.00 ,15.3,0,0,88.29,800,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489
22,Benin ,SUB-SAHARAN AFRICA                 ,7862944.00 ,112620.00 ,69.8,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546
220,Vietnam ,ASIA (EX. NEAR EAST)         ,84402966.00 ,329560.00 ,256.1,1.05,-0.45,25.95,2500,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381
118,Liberia ,SUB-SAHARAN AFRICA                 ,3042004.00 ,111370.00 ,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
103,Jamaica ,LATIN AMER. & CARIB    ,2758124.00 ,10991.00 ,250.9,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615
140,Mongolia ,ASIA (EX. NEAR EAST)         ,2832224.00 ,1564116.00 ,1.8,0,0,53.79,1800,97.8,55.1,0.77,0,99.23,1,21.59,6.95,0.206,0.214,0.58
217,Uzbekistan ,C.W. OF IND. STATES ,27307134.00 ,447400.00 ,61,0,-1.72,71.1,1700,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43
221,Virgin Islands ,LATIN AMER. & CARIB    ,108605.00 ,1910.00 ,56.9,9.84,-8.94,8.03,17200,0,652.8,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8
224,Western Sahara ,NORTHERN AFRICA                    ,273008.00 ,266000.00 ,1,0.42,0,0,0,0,0,0.02,0,99.98,1,0,0,0,0,0.4
120,Liechtenstein ,WESTERN EUROPE                     ,33987.00 ,160.00 ,212.4,0,4.85,4.7,25000,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55
157,Pakistan ,ASIA (EX. NEAR EAST)         ,165803560.00 ,803940.00 ,206.2,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533
222,Wallis and Futuna ,OCEANIA                            ,16025.00 ,274.00 ,58.5,47.08,0,0,3700,50,118.6,5,25,70,2,0,0,0,0,0
53,Cyprus ,NEAR EAST                          ,784301.00 ,9250.00 ,84.8,7.01,0.43,7.18,19200,97.6,0,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765
91,Honduras ,LATIN AMER. & CARIB    ,7326496.00 ,112090.00 ,65.4,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549
83,Guadeloupe ,LATIN AMER. & CARIB    ,452776.00 ,1780.00 ,254.4,17.19,-0.15,8.6,8000,90,463.8,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68
58,Dominican Republic ,LATIN AMER. & CARIB    ,9183984.00 ,48730.00 ,188.5,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582
111,"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823.00 ,98480.00 ,496,2.45,0,7.05,17800,97.9,486.1,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563
113,Kyrgyzstan ,C.W. OF IND. STATES ,5213898.00 ,198500.00 ,26.3,0,-2.45,35.64,1600,97,84,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
123,Macau ,ASIA (EX. NEAR EAST)         ,453125.00 ,28.00 ,16183,146.43,4.86,4.39,19400,94.5,384.9,0,0,100,2,8.48,4.47,0.001,0.072,0.927
41,Chad ,SUB-SAHARAN AFRICA                 ,9944201.00 ,1284000.00 ,7.7,0,-0.11,93.82,1200,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
81,Greenland ,NORTHERN AMERICA                   ,56361.00 ,2166086.00 ,0,2.04,-8.37,15.82,20000,0,448.9,0,0,100,1,15.93,7.84,0,0,0
138,Moldova ,C.W. OF IND. STATES ,4466706.00 ,33843.00 ,132,0,-0.26,40.42,1800,99.1,208.1,55.3,10.79,33.91,0,15.7,12.64,0.213,0.233,0.555
16,Bahrain ,NEAR EAST                          ,698585.00 ,665.00 ,1050.5,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608
107,Kazakhstan ,C.W. OF IND. STATES ,15233244.00 ,2717300.00 ,5.6,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
212,Ukraine ,C.W. OF IND. STATES ,46710816.00 ,603700.00 ,77.4,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361
93,Hungary ,EASTERN EUROPE                     ,9981334.00 ,93030.00 ,107.3,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
43,China ,ASIA (EX. NEAR EAST)         ,1313973713.00 ,9596960.00 ,136.9,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
1,Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997.00 ,647500.00 ,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38
55,Denmark ,WESTERN EUROPE                     ,5450661.00 ,43094.00 ,126.5,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735
65,Estonia ,BALTICS                            ,1324333.00 ,45226.00 ,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
108,Kenya ,SUB-SAHARAN AFRICA                 ,34707817.00 ,582650.00 ,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
40,Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356.00 ,622984.00 ,6.9,0,0,91,1100,51,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
23,Bermuda ,NORTHERN AMERICA                   ,65773.00 ,53.00 ,1241,194.34,2.49,8.53,36000,98,851.4,20,0,80,2,11.4,7.74,0.01,0.1,0.89
38,Cape Verde ,SUB-SAHARAN AFRICA                 ,420979.00 ,4033.00 ,104.4,23.93,-12.07,47.77,1400,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,0.121,0.219,0.66
47,"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314.00 ,342000.00 ,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369
49,Costa Rica ,LATIN AMER. & CARIB    ,4075261.00 ,51100.00 ,79.8,2.52,0.51,9.95,9100,96,340.7,4.41,5.88,89.71,2,18.32,4.36,0.088,0.299,0.614
74,"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564.00 ,11300.00 ,145.3,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549
90,Haiti ,LATIN AMER. & CARIB    ,8308504.00 ,27750.00 ,299.4,6.38,-3.4,73.45,1600,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52
146,Nepal ,ASIA (EX. NEAR EAST)         ,28287147.00 ,147181.00 ,192.2,0,0,66.98,1400,45.2,15.9,21.68,0.64,77.68,0,30.98,9.31,0.38,0.21,0.41
62,El Salvador ,LATIN AMER. & CARIB    ,6822378.00 ,21040.00 ,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599
100,Isle of Man ,WESTERN EUROPE                     ,75441.00 ,572.00 ,131.9,27.97,5.36,5.93,21000,0,676,9,0,91,3,11.05,11.19,0.01,0.13,0.86
136,Mexico ,LATIN AMER. & CARIB    ,107449525.00 ,1972550.00 ,54.5,0.47,-4.87,20.91,9000,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
214,United Kingdom ,WESTERN EUROPE                     ,60609153.00 ,244820.00 ,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
9,Argentina ,LATIN AMER. & CARIB    ,39921833.00 ,2766890.00 ,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
124,Macedonia ,EASTERN EUROPE                     ,2050554.00 ,25333.00 ,80.9,0,-1.45,10.09,6700,0,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563
15,"Bahamas, The ",LATIN AMER. & CARIB    ,303770.00 ,13940.00 ,21.8,25.41,-2.2,25.21,16700,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9
169,Romania ,EASTERN EUROPE                     ,22303552.00 ,237500.00 ,93.9,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549
5,Andorra ,WESTERN EUROPE                     ,71201.00 ,468.00 ,152.1,0,6.6,4.05,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,0,0,0
70,France ,WESTERN EUROPE                     ,60876136.00 ,547030.00 ,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
114,Laos ,ASIA (EX. NEAR EAST)         ,6368481.00 ,236800.00 ,26.9,0,0,85.22,1700,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258
32,Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972.00 ,274200.00 ,50.7,0,0,97.57,1100,26.6,7,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482
145,Nauru ,OCEANIA                            ,13287.00 ,21.00 ,632.7,142.86,0,9.95,5000,0,143,0,0,100,2,24.76,6.7,0,0,0
197,Switzerland ,WESTERN EUROPE                     ,7523934.00 ,41290.00 ,182.2,0,4.05,4.39,32700,99,680.9,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645
156,Oman ,NEAR EAST                          ,3102229.00 ,212460.00 ,14.6,0.98,0.28,19.51,13100,75.8,85.5,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
168,Reunion ,SUB-SAHARAN AFRICA                 ,787584.00 ,2517.00 ,312.9,8.22,0,7.78,5800,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73
57,Dominica ,LATIN AMER. & CARIB    ,68910.00 ,754.00 ,91.4,19.63,-13.87,14.15,5400,94,304.8,6.67,20,73.33,2,15.27,6.73,0.177,0.328,0.495
27,Botswana ,SUB-SAHARAN AFRICA                 ,1639833.00 ,600370.00 ,2.7,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507
51,Croatia ,EASTERN EUROPE                     ,4494749.00 ,56542.00 ,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,0,9.61,11.48,0.07,0.308,0.622
106,Jordan ,NEAR EAST                          ,5906760.00 ,92300.00 ,64,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68
134,Mauritius ,SUB-SAHARAN AFRICA                 ,1240827.00 ,2040.00 ,608.3,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
48,Cook Islands ,OCEANIA                            ,21388.00 ,240.00 ,89.1,50,0,0,5000,95,289.9,17.39,13.04,69.57,2,21,0,0.151,0.096,0.753
203,Togo ,SUB-SAHARAN AFRICA                 ,5548702.00 ,56785.00 ,97.7,0.1,0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401
97,Iran ,ASIA (EX. NEAR EAST)         ,68688433.00 ,1648000.00 ,41.7,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46
