No,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants ,Fert. Rate,Med. Age,Urban Pop,World Share
151,Belarus,9448772,-0.0003,-3088,47,202910,8730,1.7,40,0.79,0.0012
178,Austria,9015361,0.0057,51296,109,82409,65000,1.5,43,0.57,0.0012
24,Papua New Guinea,8975531,0.0195,170915,20,452860,-800,3.6,22,0.13,0.0011
49,Serbia,8731081,-0.004,-34864,100,87460,4000,1.5,42,0.56,0.0011
89,Israel,8678517,0.016,136158,400,21640,10000,3,30,0.93,0.0011
162,Switzerland,8665615,0.0074,63257,219,39516,52000,1.5,43,0.74,0.0011
58,Togo,8310934,0.0243,196358,152,54390,-2000,4.4,19,0.43,0.0011
215,Sierra Leone,8004158,0.021,163768,111,72180,-4200,4.3,19,0.43,0.001
56,Hong Kong,7507523,0.0082,60827,7140,1050,29308,1.3,45,0,0.001
105,Laos,7293542,0.0148,106105,32,230800,-14704,2.7,24,0.36,0.0009
211,Paraguay,7147553,0.0125,87902,18,397300,-16556,2.4,26,0.62,0.0009
182,Bulgaria,6939018,-0.0074,-51674,64,108560,-4800,1.6,45,0.76,0.0009
105,Libya,6887247,0.0138,93840,4,1759540,-1999,2.3,29,0.78,0.0009
30,Lebanon,6819976,-0.0044,-30268,667,10230,-30012,2.1,30,0.78,0.0009
74,Nicaragua,6638075,0.0121,79052,55,120340,-21272,2.4,26,0.57,0.0008
100,Kyrgyzstan,6542426,0.0169,108345,34,191800,-4000,3,26,0.36,0.0008
106,El Salvador,6491923,0.0051,32652,313,20720,-40539,2.1,28,0.73,0.0008
176,Turkmenistan,6046292,0.015,89111,13,469930,-5000,2.8,27,0.53,0.0008
30,Singapore,5858322,0.0079,46005,8358,700,27028,1.2,42,0,0.0008
125,Denmark,5795780,0.0035,20326,137,42430,15200,1.8,42,0.88,0.0007
180,Finland,5542237,0.0015,8564,18,303890,14000,1.5,43,0.86,0.0007
231,Congo,5540555,0.0256,137579,16,341500,-4000,4.5,19,0.7,0.0007
113,Slovakia,5460109,0.0005,2629,114,48088,1485,1.5,41,0.54,0.0007
225,Norway,5428594,0.0079,42384,15,365268,28000,1.7,40,0.83,0.0007
29,Oman,5128058,0.0265,131640,16,309500,87400,2.9,31,0.87,0.0007
196,State of Palestine,5121112,0.0241,119994,847,6020,-10563,3.7,21,0.8,0.0007
145,Costa Rica,5102158,0.0092,46557,100,51060,4200,1.8,33,0.8,0.0007
80,Liberia,5077411,0.0244,120307,53,96320,-5000,4.4,19,0.53,0.0006
120,Ireland,4947267,0.0113,55291,72,68890,23604,1.8,38,0.63,0.0006
33,Central African Republic,4843954,0.0178,84582,8,622980,-40000,4.8,18,0.43,0.0006
185,New Zealand,4829021,0.0082,39170,18,263310,14881,1.9,38,0.87,0.0006
203,Mauritania,4669775,0.0274,123962,5,1030700,5000,4.6,20,0.57,0.0006
200,Panama,4326296,0.0161,68328,58,74340,11200,2.5,30,0.68,0.0006
106,Kuwait,4281320,0.0151,63488,240,17820,39520,2.1,37,0,0.0005
179,Croatia,4100719,-0.0061,-25037,73,55960,-8001,1.4,44,0.58,0.0005
123,Moldova,4032294,-0.0023,-9300,123,32850,-1387,1.3,38,0.43,0.0005
51,Georgia,3987805,-0.0019,-7598,57,69490,-10000,2.1,38,0.58,0.0005
233,Eritrea,3554797,0.0141,49304,35,101000,-39858,4.1,19,0.63,0.0005
193,Uruguay,3475842,0.0035,11996,20,175020,-3000,2,36,0.96,0.0004
191,Bosnia and Herzegovina,3277152,-0.0061,-20181,64,51000,-21585,1.3,43,0.52,0.0004
82,Mongolia,3287242,0.0165,53123,2,1553560,-852,2.9,28,0.67,0.0004
130,Armenia,2964219,0.0019,5512,104,28470,-4998,1.8,35,0.63,0.0004
193,Jamaica,2963429,0.0044,12888,273,10830,-11332,2,31,0.55,0.0004
192,Qatar,2889284,0.0173,48986,248,11610,40000,1.9,32,0.96,0.0004
192,Albania,2877239,-0.0011,-3120,105,27400,-14000,1.6,36,0.63,0.0004
231,Puerto Rico,2846860,-0.0247,-72555,323,8870,-97986,1.2,44,0,0.0004
68,Lithuania,2715340,-0.0135,-37338,43,62674,-32780,1.7,45,0.71,0.0003
140,Namibia,2548663,0.0186,46375,3,823290,-4806,3.4,22,0.55,0.0003
210,Gambia,2427782,0.0294,68962,239,10120,-3087,5.3,18,0.59,0.0003
221,Botswana,2359585,0.0208,47930,4,566730,3000,2.9,24,0.73,0.0003
79,Gabon,2234448,0.0245,53155,9,257670,3260,4,23,0.87,0.0003
227,Lesotho,2145194,0.008,16981,71,30360,-10047,3.2,24,0.31,0.0003
63,North Macedonia,2083359,0,-85,83,25220,-1000,1.5,39,0.59,0.0003
98,Slovenia,2078989,0.0001,284,103,20140,2000,1.6,45,0.55,0.0003
193,Guinea-Bissau,1975718,0.0245,47079,70,28120,-1399,4.5,19,0.45,0.0003
64,Latvia,1882408,-0.0108,-20545,30,62200,-14837,1.7,44,0.69,0.0002
32,Bahrain,1711057,0.0368,60403,2239,760,47800,2,32,0.89,0.0002
15,Equatorial Guinea,1410419,0.0347,46999,50,28050,16000,4.6,22,0.73,0.0002
108,Trinidad and Tobago,1400283,0.0032,4515,273,5130,-800,1.7,36,0.52,0.0002
170,Estonia,1326693,0.0007,887,31,42390,3911,1.6,42,0.68,0.0002
120,Timor-Leste,1322667,0.0196,25326,89,14870,-5385,4.1,21,0.33,0.0002
48,Mauritius,1272140,0.0017,2100,626,2030,0,1.4,37,0.41,0.0002
32,Cyprus,1208886,0.0073,8784,131,9240,5000,1.3,37,0.67,0.0002
123,Eswatini,1162233,0.0105,12034,67,17200,-8353,3,21,0.3,0.0001
131,Djibouti,990447,0.0148,14440,43,23180,900,2.8,27,0.79,0.0001
196,Fiji,897573,0.0073,6492,49,18270,-6202,2.8,28,0.59,0.0001
127,RÃ©union,896422,0.0072,6385,358,2500,-1256,2.3,36,1,0.0001
223,Comoros,872695,0.022,18715,467,1861,-2000,4.2,20,0.29,0.0001
136,Guyana,787215,0.0048,3786,4,196850,-6000,2.5,27,0.27,0.0001
103,Bhutan,773069,0.0112,8516,20,38117,320,2,28,0.46,0.0001
88,Solomon Islands,689671,0.0255,17061,25,27990,-1600,4.4,20,0.23,0.0001
166,Macao,650846,0.0139,8890,21645,30,5000,1.2,39,0,0.0001
24,Montenegro,628080,0.0001,79,47,13450,-480,1.8,39,0.68,0.0001
56,Luxembourg,627704,0.0166,10249,242,2590,9741,1.5,40,0.88,0.0001
42,Western Sahara,599769,0.0255,14876,2,266000,5582,2.4,28,0.87,0.0001
3,Suriname,587541,0.009,5260,4,156000,-1000,2.4,29,0.65,0.0001
166,Cabo Verde,557026,0.011,6052,138,4030,-1342,2.3,28,0.68,0.0001
137,Maldives,542151,0.0181,9591,1802,300,11370,1.9,30,0.35,0.0001
166,Malta,441750,0.0027,1171,1380,320,900,1.5,43,0.93,0.0001
34,Brunei,438202,0.0097,4194,83,5270,0,1.8,32,0.8,0.0001
134,Guadeloupe,400136,0.0002,68,237,1690,-1440,2.2,44,0,0.0001
193,Belize,398845,0.0186,7275,17,22810,1200,2.3,25,0.46,0.0001
157,Bahamas,393893,0.0097,3762,39,10010,1000,1.8,32,0.86,0.0001
25,Martinique,375213,-0.0008,-289,354,1060,-960,1.9,47,0.92,0
184,Iceland,341628,0.0065,2212,3,100250,380,1.8,37,0.94,0
238,Vanuatu,308337,0.0242,7263,25,12190,120,3.8,21,0.24,0
17,French Guiana,299958,0.027,7850,4,82200,1200,3.4,25,0.87,0
197,Barbados,287437,0.0012,350,668,430,-79,1.6,40,0.31,0
36,New Caledonia,285972,0.0097,2748,16,18280,502,2,34,0.72,0
233,French Polynesia,281191,0.0058,1621,77,3660,-1000,2,34,0.64,0
169,Mayotte,273905,0.025,6665,728,375,0,3.7,20,0.46,0
4,Sao Tome & Principe,219844,0.0191,4103,228,960,-1680,4.4,19,0.74,0
170,Samoa,198643,0.0067,1317,70,2830,-2803,3.9,22,0.18,0
214,Saint Lucia,183774,0.0046,837,301,610,0,1.4,34,0.19,0
163,Channel Islands,174140,0.0093,1604,915,190,1351,1.5,43,0.3,0
217,Guam,169031,0.0089,1481,313,540,-506,2.3,31,0.95,0
44,CuraÃ§ao,164211,0.0041,669,370,444,515,1.8,42,0.89,0
71,Kiribati,119760,0.0157,1843,147,810,-800,3.6,23,0.57,0
223,Micronesia,115231,0.0106,1208,164,700,-600,3.1,24,0.21,0
46,Grenada,112614,0.0046,520,331,340,-200,2.1,32,0.35,0
129,St. Vincent & Grenadines,111002,0.0032,351,284,390,-200,1.9,33,0.53,0
53,Aruba,106845,0.0043,452,593,180,201,1.9,41,0.44,0
87,Tonga,105901,0.0115,1201,147,720,-800,3.6,22,0.24,0
26,U.S. Virgin Islands,104398,-0.0015,-153,298,350,-451,2,43,0.96,0
206,Seychelles,98453,0.0062,608,214,460,-200,2.5,34,0.56,0
48,Antigua and Barbuda,98069,0.0084,811,223,440,0,2,34,0.26,0
27,Isle of Man,85112,0.0053,449,149,570,0,0,0,0.53,0
113,Andorra,77287,0.0016,123,164,470,0,0,0,0.88,0
207,Dominica,72017,0.0025,178,96,750,0,0,0,0.74,0
52,Cayman Islands,65854,0.0119,774,274,240,0,0,0,0.97,0
91,Bermuda,62237,-0.0036,-228,1246,50,0,0,0,0.97,0
147,Marshall Islands,59259,0.0068,399,329,180,0,0,0,0.7,0
207,Northern Mariana Islands,57619,0.006,343,125,460,0,0,0,0.88,0
238,Greenland,56787,0.0017,98,0,410450,0,0,0,0.87,0
192,American Samoa,55169,-0.0022,-121,276,200,0,0,0,0.88,0
66,Saint Kitts & Nevis,53264,0.0071,376,205,260,0,0,0,0.33,0
219,Faeroe Islands,48896,0.0038,185,35,1396,0,0,0,0.43,0
66,Sint Maarten,42960,0.0115,488,1261,34,0,0,0,0.96,0
48,Monaco,39290,0.0071,278,26337,1,0,0,0,0,0
229,Turks and Caicos,38806,0.0138,526,41,950,0,0,0,0.89,0
135,Saint Martin,38778,0.0175,664,730,53,0,0,0,0,0
56,Liechtenstein,38147,0.0029,109,238,160,0,0,0,0.15,0
122,San Marino,33944,0.0021,71,566,60,0,0,0,0.97,0
147,Gibraltar,33689,-0.0003,-10,3369,10,0,0,0,0,0
212,British Virgin Islands,30266,0.0067,201,202,150,0,0,0,0.52,0
159,Caribbean Netherlands,26265,0.0094,244,80,328,0,0,0,0.75,0
219,Palau,18109,0.0048,86,39,460,0,0,0,0,0
143,Cook Islands,17567,0.0009,16,73,240,0,0,0,0.75,0
227,Anguilla,15026,0.009,134,167,90,0,0,0,0,0
227,Tuvalu,11817,0.0125,146,393,30,0,0,0,0.62,0
31,Wallis & Futuna,11203,-0.0169,-193,80,140,0,0,0,0,0
80,Nauru,10836,0.0063,68,541,20,0,0,0,0,0
120,Saint Barthelemy,9882,0.003,30,470,21,0,0,0,0,0
81,Saint Helena,6080,0.003,18,16,390,0,0,0,0.27,0
185,Saint Pierre & Miquelon,5789,-0.0048,-28,25,230,0,0,0,1,0
50,Montserrat,4993,0.0006,3,50,100,0,0,0,0.1,0
115,Falkland Islands,3497,0.0305,103,0,12170,0,0,0,0.66,0
94,Niue,1628,0.0068,11,6,260,0,0,0,0.46,0
4,Tokelau,1360,0.0127,17,136,10,0,0,0,0,0
52,Holy See,801,0.0025,2,2003,0,0,0,0,0,0
