No,LocID,Location,MidPeriod,TFR,NRR,CBR,Births,LEx,IMR,Deaths,CNMR,GrowthRate,NatIncr,SRB,RANDOM
258,2095,Countries with Access to the Sea: Asia,2018,2.122,0.958,16.137,353196.984,73.4,24.54,151360.064,-0.373,0.885,9.221,1.09,0.297570959
234,2077,Commonwealth: Caribbean and Americas,2018,1.62,0.77,11.271,2459.461,80.94,6.87,1678.592,5.165,0.875,3.579,1.05,0.919518016
582,1561,Gulf Cooperation Council (GCC),2018,2.182,1.061,16.07,4487.049,75.61,6.36,792.512,6.979,2.023,13.232,1.04,0.587356714
1011,703,Slovakia,2018,1.502,0.726,10.479,285.422,77.31,4.758,268.814,0.273,0.088,0.61,1.05,0.307410383
173,915,Caribbean,2013,2.308,1.044,17.927,3757.531,71.63,33.174,1638.388,-3.408,0.67,10.11,1.05,0.186071102
363,1059,ESCAP: Least Developed Countries (LDCs),2018,2.355,1.084,20.587,31390.639,69.66,33.613,9534.502,-1.988,1.235,14.334,1.05,0.300734806
697,1477,Least developed: Latin America and the Caribbean,2008,3.62,1.483,28.643,1370.917,59.65,63.821,478.881,-2.883,1.576,18.637,1.05,0.854318488
335,2061,ESCAP: ADB Developing member countries (DMCs),2013,2.214,0.984,17.778,336582.461,70.86,31.378,131923.758,-0.62,1.019,10.81,1.1,0.694668507
742,1501,Lower-middle-income countries,2008,3.087,1.323,25.075,324167.342,64.64,51.92,105234.053,-1.186,1.576,16.935,1.08,0.858434652
588,332,Haiti,2018,2.96,1.253,24.533,1355.329,63.52,54.298,473.34,-3.168,1.28,15.965,1.05,0.509044813
1282,1596,WHO: Americas (AMRO),2008,2.186,1.031,17.008,76910.821,75.35,16.276,30183.141,0.685,1.102,10.333,1.05,0.484914156
161,132,Cabo Verde,2013,2.497,1.192,21.726,55.26,71.53,20.577,15.143,-3.157,1.262,15.772,1.03,0.478630276
581,1561,Gulf Cooperation Council (GCC),2013,2.469,1.201,18.328,4495.987,74.98,8.409,682.324,16.736,3.235,15.546,1.03,0.61987089
692,1475,Least developed: Africa,2013,5.4,2.262,39.309,111470.272,59.69,59.325,26253.123,-0.968,2.913,30.051,1.03,0.288358044
164,116,Cambodia,2013,2.7,1.235,24.525,1829.198,67.61,29.974,469.968,-2.011,1.622,18.224,1.049,0.952113435
269,2099,Countries with Access to the Sea: Oceania,2013,2.436,1.118,17.436,3344.683,77.35,20.456,1315.97,4.988,1.557,10.576,1.07,0.32861604
584,328,Guyana,2013,2.599,1.187,21.08,79.938,68.69,31.655,26.936,-9.229,0.475,13.977,1.05,0.451147333
815,1486,More developed: Oceania,2013,1.91,0.92,13.432,1849.27,82.19,3.75,907.254,7.846,1.469,6.842,1.06,0.210035763
628,400,Jordan,2008,3.8,1.786,29.863,972.571,73,19.68,126.658,19.958,4.614,25.974,1.054,0.664712738
86,44,Bahamas,2013,1.81,0.854,14.493,26.418,72.47,8.022,12.154,2.742,1.057,7.825,1.057,0.135907714
13,2080,African Union: Central Africa,2008,6.203,2.407,43.869,23785.998,54.21,82.972,6898.067,0.21,3.142,31.147,1.03,0.197874758
929,604,Peru,2013,2.4,1.134,19.214,2857.958,75.11,14.087,790.085,-4.201,0.97,13.902,1.05,0.824529369
215,158,"China, Taiwan Province of China",2013,1.106,0.526,8.642,1009.964,79.26,4.234,810.041,1.455,0.317,1.71,1.079,0.9763944
175,1530,Caribbean Community and Common Market (CARICOM),2008,2.992,1.294,24.22,1990.26,64.38,50.405,723.761,-3.43,1.199,15.412,1.05,0.304591963
881,918,Northern America,2008,2.015,0.969,13.547,22711.27,78.44,6.652,13462.129,4.027,0.955,5.517,1.05,0.248795616
1167,2036,UNICEF Regions: East Asia and Pacific,2018,1.843,0.849,13.241,155870.454,76.3,13.251,83762.197,-0.176,0.595,6.126,1.1,0.596387147
1045,5501,Southern Asia,2008,2.879,1.248,23.671,195356.795,65.87,51.656,62066.932,-1.134,1.502,16.15,1.09,0.097789271
353,1055,ESCAP: ECO,2013,3.02,1.35,25.223,56467.199,69.2,47.579,14564.306,0.234,1.897,18.717,1.07,0.768149881
1239,1111,United States of America (and dependencies),2018,1.772,0.853,11.928,19647.834,78.82,5.82,14310.76,2.595,0.584,3.24,1.05,0.598930101
795,1517,Middle-income countries,2018,2.346,1.052,18.111,507735.978,71.43,27.892,203440.171,-0.419,1.044,10.854,1.08,0.196303412
160,132,Cabo Verde,2008,2.714,1.29,23.139,55.285,70.65,22.921,14.325,-4.747,1.24,17.143,1.03,0.107381865
1227,1599,United Nations Member States,2018,2.467,1.098,18.478,700512.418,72.28,29.268,286178.918,0.001,1.093,10.929,1.07,0.65440543
497,1829,Europe and Northern America,2013,1.684,0.805,11.358,61895.577,77.75,5.462,54594.998,2.402,0.374,1.34,1.05,0.023871229
1164,2035,UNICEF REGIONS,2018,2.468,1.099,18.486,701277.931,72.28,29.256,286276.223,0,1.094,10.94,1.07,0.00741418
1293,1597,WHO: South-East Asia region (SEARO),2018,2.208,0.998,17.759,175060.485,70.14,28.939,69345.102,-0.609,1.012,10.724,1.08,0.485767426
585,328,Guyana,2018,2.473,1.139,20.067,77.961,69.71,26.763,28.836,-7.722,0.492,12.645,1.05,0.480293631
43,28,Antigua and Barbuda,2008,2,0.968,17.038,7.22,75.46,8.95,2.544,4.453,1.55,11.034,1.03,0.402754114
391,2054,ESCAP: income groups,2008,2.267,0.994,18.323,377139.335,69.76,37.079,152694.881,-0.607,1.03,10.905,1.1,0.979839785
594,340,Honduras,2018,2.487,1.163,21.804,1036.662,74.99,15.039,210.971,-0.715,1.666,17.367,1.05,0.879456654
1136,1586,UNICEF Programme Regions: East Asia and Pacific (EAPRO),2013,1.882,0.856,14.781,150427.699,73.71,17.276,69892.554,-0.371,0.754,7.913,1.11,0.622310471
1008,702,Singapore,2018,1.209,0.58,8.75,250.294,83.39,1.626,127.242,4.724,0.903,4.302,1.073,0.838208858
434,1563,East African Community (EAC),2013,4.959,2.152,37.778,29925.905,61,49.726,6244.888,-1.109,2.884,29.895,1.03,0.541572472
286,384,C̫te d'Ivoire,2008,5.25,2.046,38.047,3698.896,51.41,77.201,1320.458,-2.057,2.243,24.465,1.03,0.381668235
888,924,Northern Europe,2018,1.746,0.843,11.392,5974.713,81.02,3.313,4932.016,3.241,0.523,1.988,1.05,0.130131041
465,818,Egypt,2018,3.33,1.572,26.538,12922.48,71.74,15.605,2840.464,-0.391,2.033,20.705,1.06,0.174712657
31,8,Albania,2008,1.64,0.754,11.897,179.484,75.64,16.781,100.91,-14.407,-0.92,5.209,1.122,0.558843404
185,5500,Central Asia,2013,2.757,1.283,24.772,8130.58,69.52,26.381,2268.668,-0.57,1.73,17.86,1.06,0.568094218
39,1533,Andean Community,2018,2.138,1.009,17.378,9481.57,76.11,15.072,3037.719,3.031,1.485,11.81,1.05,0.199902401
635,404,Kenya,2013,4.06,1.814,32.87,7388.27,62.92,41.556,1490.618,-0.222,2.605,26.238,1.03,0.909980172
939,957,Polynesia,2018,2.759,1.324,19.618,66.251,74.73,11.979,19.678,-8.831,0.496,13.791,1.06,0.563095391
909,2085,Organization of American States (OAS),2018,1.959,0.927,14.834,73946.24,76.72,12.654,35480.252,0.775,0.849,7.716,1.05,0.946449529
609,364,Iran (Islamic Republic of),2018,2.15,1.026,19.097,7757.508,76.35,12.823,1981.772,-0.677,1.355,14.218,1.052,0.802798388
922,598,Papua New Guinea,2008,4.133,1.769,31.119,1074.018,61.32,54.476,296.993,1.118,2.366,22.514,1.08,0.18604902
229,2076,Commonwealth: Asia,2008,2.876,1.242,23.458,182504.785,65.89,51.655,58760.278,-0.68,1.523,15.905,1.09,0.332461339
1258,1509,WB region: East Asia and Pacific (excluding high income),2008,1.87,0.845,15.146,148409.854,72.25,22.684,66770.51,-0.705,0.763,8.332,1.12,0.104880825
423,2065,ESCWA: Gulf Cooperation Council countries,2018,2.182,1.061,16.07,4487.049,75.61,6.36,792.512,6.979,2.023,13.232,1.04,0.955634755
855,562,Niger,2018,6.95,2.942,46.273,5114.131,61.8,46.305,929.152,0.181,3.816,37.866,1.05,0.47050057
1110,1735,UN-ECE: member countries,2018,1.793,0.849,12.03,77415.085,78.08,6.958,62025.152,2.164,0.456,2.391,1.06,0.690626759
1287,1595,WHO: Eastern Mediterranean Region (EMRO),2018,3.267,1.47,25.919,89760.33,69.94,38.398,20501.263,-0.889,1.912,19.999,1.06,0.824324255
747,442,Luxembourg,2018,1.45,0.703,10.668,31.809,82,2.874,21.281,16.334,1.988,3.531,1.046,0.037796739
1307,926,Western Europe,2013,1.668,0.806,10.281,9772.671,81.09,3.45,9214.334,3.577,0.416,0.587,1.05,0.321723584
577,624,Guinea-Bissau,2008,5.2,2.047,39.857,285.725,53.31,85.247,90.553,-2.441,2.482,27.225,1.03,0.523009771
141,70,Bosnia and Herzegovina,2018,1.27,0.61,8.194,137.45,77.18,5.998,178.062,-6.434,-0.886,-2.42,1.065,0.89256378
95,52,Barbados,2013,1.63,0.782,11.108,15.758,78.6,11.464,12.172,-0.28,0.225,2.528,1.036,0.887664995
998,690,Seychelles,2013,2.38,1.128,17.575,8.183,73.07,12.367,3.466,-2.148,0.798,10.131,1.06,0.03222421
661,1674,Land-locked Countries (Others),2008,1.444,0.687,10.288,3135.307,75.25,5.13,3476.243,2.49,0.137,-1.119,1.06,0.811085651
484,1546,Eurasian Economic Community (Eurasec),2008,1.799,0.836,14.586,15226.082,66.97,20.939,13530.715,1.909,0.353,1.624,1.06,0.268835579
1277,1820,WHO Regions,2013,2.522,1.11,19.511,695087.724,70.83,34.011,273398.816,0.005,1.185,11.837,1.07,0.837949559
308,1737,ECE: North America-2,2013,1.849,0.89,12.383,21672.252,79.23,5.843,14129.44,3.544,0.786,4.31,1.05,0.751951983
844,554,New Zealand,2008,2.142,1.029,14.936,317.583,80.32,4.951,145.29,2.935,1.104,8.103,1.056,0.499781279
848,1109,New Zealand (and dependencies),2013,2.038,0.98,13.717,309.531,81.29,4.431,154.897,3.95,1.081,6.853,1.06,0.028740274
644,417,Kyrgyzstan,2013,3.3,1.553,28.608,813.994,70.27,19.543,183.812,-3.281,1.888,22.148,1.058,0.811843857
1261,1510,WB region: Europe and Central Asia (excluding high income),2008,1.805,0.839,14.466,28727.517,68.73,19.405,23356.045,0.297,0.3,2.705,1.06,0.99126165
1314,732,Western Sahara,2018,2.415,1.128,20.302,57.025,69.86,28.776,13.813,9.936,2.535,15.384,1.03,0.571354599
157,108,Burundi,2008,6.39,2.495,43.148,1730.267,55.27,69.991,449.526,0.748,3.276,31.938,1.03,0.274565
1318,1801,World Bank Regional Groups (developing only),2008,2.721,1.176,22.082,615254.523,66.72,45.027,222739.248,-0.834,1.326,14.088,1.08,0.541864611
260,2096,Countries with Access to the Sea: Europe,2013,1.615,0.772,10.93,36729.54,77.24,5.289,36735.304,1.784,0.178,-0.002,1.06,0.378824656
14,2080,African Union: Central Africa,2013,5.923,2.39,42.256,26771.499,56.96,71.581,6968.97,-0.419,3.09,31.256,1.03,0.759780307
1267,1512,WB region: Middle East and North Africa (excluding high income),2008,2.874,1.331,24.363,38862.801,71.34,26.089,8595.764,-1.4,1.759,18.974,1.06,0.065335083
170,124,Canada,2013,1.601,0.772,10.936,1918.566,81.79,4.647,1280.871,7.076,1.071,3.635,1.054,0.64279012
419,2066,ESCWA: Arab least developed countries,2013,4.89,2.091,35.467,14160.666,62.75,53.364,3167.188,-2.068,2.55,27.534,1.04,0.311902288
851,558,Nicaragua,2013,2.54,1.197,22.765,685.645,73.1,17.825,151.458,-4.483,1.326,17.736,1.05,0.494546223
1233,850,United States Virgin Islands,2018,2.046,0.979,11.768,6.16,80.31,8.158,4.433,-4.306,-0.101,3.299,1.06,0.475523948
1283,1596,WHO: Americas (AMRO),2013,2.052,0.97,15.772,75119.872,76.25,13.888,32275.951,0.765,0.976,8.995,1.05,0.428156781
19,2082,African Union: Northern Africa,2008,2.819,1.3,23.581,19476.998,71.53,26.116,4733.543,-1.634,1.622,17.85,1.06,0.595333751
15,2080,African Union: Central Africa,2018,5.519,2.289,39.68,29273.927,59.21,62.99,7116.339,-0.023,3.007,30.034,1.03,0.894076699
665,1636,Land-locked Developing Countries (LLDC),2013,4.329,1.867,33.788,75556.668,62.81,50.997,18598.128,-1.701,2.38,25.471,1.04,0.133284573
624,388,Jamaica,2018,1.991,0.947,16.229,237.437,74.33,11.778,110.637,-3.873,0.479,8.667,1.05,0.142646573
767,474,Martinique,2013,1.975,0.955,11.492,22.212,81.2,6.425,15.76,-11.711,-0.837,3.338,1.04,0.88939649
627,392,Japan,2018,1.37,0.662,7.493,4766.941,84.43,1.764,6633.416,0.562,-0.237,-2.934,1.056,0.697029624
313,1744,ECLAC: Latin America,2008,2.263,1.064,19.058,53588.684,73.42,20.305,16481.378,-1.249,1.195,13.197,1.05,0.793091882
832,528,Netherlands,2008,1.746,0.841,11.27,931.159,80.18,4.107,681.107,0.795,0.382,3.027,1.058,0.204451901
563,1524,Group of Twenty (G20) - member states,2013,2.009,0.903,15.373,337724.004,73.56,22.53,164682.64,0.67,0.855,7.877,1.09,0.980473442
1272,1513,WB region: South Asia (excluding high income),2018,2.404,1.075,19.582,176522.524,69.1,36.915,63285.611,-0.689,1.188,12.561,1.09,0.901235563
727,1482,Less developed: Oceania,2008,3.853,1.684,29.338,1446.685,63.71,45.931,387.44,-1.769,1.973,21.481,1.08,0.783939502
1309,1827,Western European and Others Group (WEOG),2008,1.881,0.892,12.781,54304.232,79.06,6.576,35711.852,3.645,0.802,4.376,1.05,0.738020863
1256,704,Viet Nam,2013,1.962,0.895,17.283,7805.348,74.96,17.899,2695.926,-0.886,1.043,11.313,1.125,0.71544529
542,288,Ghana,2013,4.18,1.769,31.753,4177.807,61.82,44.834,1058.222,-0.38,2.336,23.71,1.053,0.087255831
1219,1745,United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),2008,2.26,1.063,18.999,54566.522,73.45,20.228,16921.711,-1.321,1.179,13.107,1.05,0.419375313
1143,1587,UNICEF Programme Regions: Eastern and Southern Africa (ESARO),2018,4.225,1.882,33.121,84409.46,63.49,42.501,18677.889,-0.256,2.557,25.792,1.03,0.466410023
486,1546,Eurasian Economic Community (Eurasec),2018,2.173,0.999,15.854,17480.639,72.3,11.231,11829.919,0.636,0.576,5.125,1.06,0.995504105
1017,1637,Small Island Developing States (SIDS),2018,2.452,1.105,18.456,6502.466,72.12,31.626,2587.315,-1.971,0.914,11.113,1.06,0.863193975
453,1538,Economic Community of Central African States (ECCAS),2018,5.426,2.279,39.393,37440.571,59.96,60.974,8705.013,-0.031,3.026,30.234,1.03,0.952176023
700,1478,Least developed: Oceania,2008,4.271,1.944,32.952,136.671,68.83,26.459,22.491,-4.382,2.317,27.529,1.07,0.893920553
921,591,Panama,2018,2.469,1.173,19.078,395.066,78.24,14.127,104.788,2.704,1.673,14.018,1.05,0.805145072
332,1072,ESCAP region: South-East Asia,2013,2.341,1.082,19.169,59005.95,71.17,23.994,19873.32,-0.576,1.214,12.713,1.06,0.251331705
1144,1585,UNICEF Programme Regions: Europe and Central Asia (CEECIS),2008,1.993,0.923,16.087,20748.375,70.12,22.71,12896.783,-1.355,0.473,6.088,1.06,0.425989838
94,52,Barbados,2008,1.75,0.839,12.489,17.437,78.11,12.577,11.38,-0.178,0.416,4.338,1.036,0.755728682
208,344,"China, Hong Kong SAR",2008,1.036,0.483,9.046,310.623,82.43,1.861,203.615,2.614,0.573,3.117,1.129,0.088341849
1080,760,Syrian Arab Republic,2018,2.84,1.351,24.004,2130.215,71.32,15.542,490.011,-24.08,-0.56,18.482,1.05,0.288551524
442,923,Eastern Europe,2008,1.433,0.679,10.932,16190.152,69.52,9.845,20660.401,1.244,-0.177,-3.019,1.06,0.343258152
766,474,Martinique,2008,2.04,0.984,13.389,26.505,80.11,7.565,14.92,-7.129,-0.128,5.852,1.04,0.671771492
861,1518,No income group available,2018,2.485,1.195,17.022,243.179,79.28,10.515,85.765,1.057,1.208,11.019,1.04,0.556173668
1128,1613,UNFPA: Latin America and the Caribbean (LAC),2018,2.047,0.968,16.558,52543.452,75.2,15.49,19923.472,-0.665,0.962,10.279,1.05,0.80889339
821,508,Mozambique,2013,5.232,2.177,39.588,5005.312,54.21,62.782,1469.889,-0.198,2.781,27.962,1.017,0.129603581
595,348,Hungary,2008,1.329,0.64,9.534,477.033,73.74,5.651,660.747,0.503,-0.317,-3.672,1.054,0.814969633
836,1108,Netherlands (and dependencies),2013,1.736,0.838,10.615,909.049,81.22,3.633,708.422,0.907,0.325,2.343,1.06,0.530691949
532,270,Gambia,2008,5.65,2.337,41.201,343.716,58.85,52.364,78.829,-1.85,2.996,31.752,1.03,0.603150162
11,1560,African Union,2013,4.732,1.979,35.878,199088.494,60.23,55.96,51772.355,-0.765,2.582,26.548,1.04,0.934753311
1094,776,Tonga,2013,3.789,1.775,26.356,13.492,70.31,14.737,3.7,-25.379,-0.625,19.128,1.05,0.02145207
1296,1598,WHO: Western Pacific region (WPRO),2018,1.773,0.816,12.572,119834.575,77.16,11.357,68003.224,-0.117,0.532,5.438,1.11,0.892526295
540,276,Germany,2018,1.586,0.767,9.413,3896.182,81.1,3.189,4618.754,6.569,0.482,-1.745,1.052,0.302366173
84,1526,BRICS,2018,1.968,0.889,14.843,235963.432,72.96,21.714,118016.044,-0.167,0.725,7.419,1.1,0.571252514
285,203,Czechia,2018,1.641,0.792,10.451,556.789,79.15,2.273,559.258,2.066,0.202,-0.046,1.058,0.197072605
1025,710,South Africa,2013,2.55,1.152,22.647,6035.707,60.95,32.943,2785.994,3.451,1.565,12.193,1.031,0.126357688
1304,922,Western Asia,2013,2.859,1.336,22.62,27714.304,73.41,20.537,6209.179,3.042,2.061,17.552,1.06,0.247377714
81,1525,BRIC,2018,1.958,0.884,14.736,230038.463,73.14,21.572,115286.371,-0.217,0.713,7.351,1.11,0.023644181
1067,729,Sudan,2013,4.75,2.049,34.367,6310.427,63.76,47.825,1414.351,-2.931,2.376,26.664,1.04,0.506942567
1226,1599,United Nations Member States,2013,2.516,1.107,19.46,697009.24,70.87,33.93,274709.44,0.004,1.18,11.79,1.07,0.616027029
713,948,"Less developed regions, excluding China",2013,2.967,1.306,23.937,539043.732,67.52,41.222,163353.242,-0.589,1.61,16.683,1.06,0.629944696
430,1765,ESCWA: member countries,2008,3.463,1.581,27.182,39131.527,69.69,29.961,8094.707,3.014,2.46,21.559,1.05,0.725818549
1215,1110,United Kingdom (and dependencies),2018,1.749,0.845,11.531,3885.084,81.16,3.79,3156.011,3.903,0.607,2.164,1.05,0.028729565
356,2049,ESCAP: HDI groups,2013,2.163,0.963,17.169,371478.818,71.72,29.296,155494.184,-0.298,0.969,9.983,1.1,0.931720553
599,352,Iceland,2013,1.984,0.961,13.822,22.481,82.19,1.572,10.409,-1.33,0.609,7.422,1.053,0.607751759
1014,705,Slovenia,2018,1.6,0.773,9.721,100.857,81.08,1.867,103.123,0.964,0.075,-0.218,1.057,0.134345749
850,558,Nicaragua,2008,2.68,1.253,24.304,684.339,71.73,23.084,143.951,-5.505,1.369,19.192,1.05,0.833291361
555,1556,Group of 77 (G77),2018,2.627,1.166,20.334,604503.03,70.31,32.873,210544.417,-0.504,1.275,13.252,1.07,0.799682487
158,108,Burundi,2013,5.95,2.451,42.198,1987.053,58.92,52.334,432.628,-1.487,3.159,33.011,1.03,0.775350326
642,414,Kuwait,2018,2.1,1.013,14.379,291.404,75.33,7.12,54.031,9.751,2.148,11.713,1.045,0.919901733
805,1483,More developed: Asia,2008,1.339,0.646,8.675,5570.693,82.65,2.553,5632.039,0.432,0.034,-0.095,1.06,0.02429748
1225,1599,United Nations Member States,2008,2.583,1.121,20.332,685696.27,68.92,40.996,271398.468,0.003,1.229,12.285,1.07,0.360216912
749,450,Madagascar,2013,4.4,1.956,34.126,3872.083,64.5,36.766,782.134,-0.066,2.721,27.233,1.03,0.591031317
278,531,Cura̤ao,2013,2.12,1.016,13.056,10.087,77.77,10.268,6.25,8.824,1.38,4.966,1.05,0.04168352
193,148,Chad,2008,6.853,2.484,48.047,2648.456,49.51,97.534,867.955,1.361,3.374,32.301,1.03,0.004836744
1043,1564,Southern African Development Community (SADC),2013,4.774,2.033,36.853,54970.387,58.79,57.531,14574.068,-0.106,2.702,27.082,1.03,0.426741866
91,50,Bangladesh,2008,2.482,1.12,22.411,16057.962,68.83,43.315,4263.258,-4.542,1.192,16.461,1.049,0.410470084
1107,795,Turkmenistan,2018,2.785,1.283,23.984,695.311,67.98,43.278,204.401,-0.862,1.608,16.934,1.046,0.412081537
463,818,Egypt,2008,3.02,1.402,25.308,10014.651,69.87,23.467,2493.411,-0.717,1.83,19.007,1.066,0.643972013
96,52,Barbados,2018,1.62,0.779,10.693,15.31,79.02,10.042,12.857,-0.277,0.144,1.713,1.036,0.047193282
488,908,Europe,2008,1.557,0.736,10.877,39857.076,75.3,6.433,41375.15,2.359,0.194,-0.415,1.06,0.735123924
406,1065,ESCAP: other Asia-Pacific countries/areas,2008,3.301,1.533,25.049,19400.728,73.01,24.346,3687.142,8.832,2.917,20.288,1.05,0.748684629
704,422,Lebanon,2013,2.08,0.996,17.476,501.802,78.64,9.6,114.539,41.525,5.536,13.487,1.05,0.803330786
346,1054,ESCAP: ASEAN,2008,2.415,1.109,20.293,58647.248,69.63,28.49,19069.52,-1.344,1.235,13.695,1.06,0.124612486
874,912,Northern Africa,2008,3.111,1.408,25.548,24868.706,69.77,31.684,6007.061,-2.407,1.698,19.377,1.06,0.113727831
1018,90,Solomon Islands,2008,4.4,2.006,33.899,84.56,69.89,22.968,12.362,-5.715,2.325,28.943,1.07,0.314613008
